work_id,author_id,author_name,institutions,author_position,is_corresponding
W3191754683,A5000133042,Cheng‐Yan Xu,Harbin Institute of Technology,middle,True
W3191754683,A5011166102,Yang Chai,Hong Kong Polytechnic University; Shenzhen Polytechnic University,last,True
W4379645948,A5020970207,Sivashanmugam Amirthalingam,Seoul National University,first,True
W4379645948,A5035134532,Arun Kumar Rajendran,Seoul National University,middle,False
W4379645948,A5112931308,Young Gi Moon,Seoul National University,middle,False
W4379645948,A5075710060,Nathaniel S. Hwang,Seoul National University; Bio-Medical Science (South Korea),last,False
W4372334223,A5032296756,Dayanand Kumar,King Abdullah University of Science and Technology,first,True
W4372334223,A5038350916,Lana Joharji,King Abdullah University of Science and Technology,middle,False
W4372334223,A5046275184,Hanrui Li,King Abdullah University of Science and Technology,middle,False
W4372334223,A5016148425,Ayman Rezk,Khalifa University of Science and Technology,middle,False
W4372334223,A5060091456,Ammar Nayfeh,Khalifa University of Science and Technology,middle,False
W4372334223,A5003016123,Nazek El‐Atab,King Abdullah University of Science and Technology,last,False
W4293254872,A5101637056,Jiaqi Xu,Northeast Normal University,first,False
W4293254872,A5033119230,Xiaoning Zhao,Northeast Normal University,middle,True
W4293254872,A5033119230,Xiaoning Zhao,Northeast Normal University,middle,False
W4293254872,A5013779064,Xiaoli Zhao,Northeast Normal University,middle,True
W4293254872,A5013779064,Xiaoli Zhao,Northeast Normal University,middle,False
W4293254872,A5101479332,Zhongqiang Wang,Northeast Normal University,middle,False
W4293254872,A5005171414,Qingxin Tang,Northeast Normal University,middle,False
W4293254872,A5017428165,Haiyang Xu,Northeast Normal University,middle,True
W4293254872,A5100658559,Yichun Liu,Northeast Normal University,last,False
W4214685805,A5051512789,Matteo Tonezzer,Fondazione Edmund Mach; University of Trento; Institute of Materials for Electronics and Magnetism; National Research Council,first,True
W4214685805,A5039431338,Dang Thi Thanh Le,Hanoi University of Science and Technology,middle,False
W4214685805,A5048713255,Lai Van Duy,Fondazione Edmund Mach; University of Rome Tor Vergata; University of Trento; Hanoi University of Science and Technology,middle,False
W4214685805,A5044608473,Nguyễn Đức Hòa,Hanoi University of Science and Technology,middle,False
W4214685805,A5083242826,Flavia Gasperi,Fondazione Edmund Mach; University of Trento,middle,False
W4214685805,A5077110327,Nguyễn Văn Duy,Hanoi University of Science and Technology,middle,True
W4214685805,A5042944209,Franco Biasioli,Fondazione Edmund Mach,last,False
W3202305916,A5004398373,Fabrizio Antonio Viola,Italian Institute of Technology; Center for Nano Science and Technology,first,True
W3202305916,A5037429078,Jonathan Barsotti,Italian Institute of Technology; Center for Nano Science and Technology,middle,False
W3202305916,A5053805766,Filippo Melloni,Italian Institute of Technology; Center for Nano Science and Technology,middle,False
W3202305916,A5054765855,Guglielmo Lanzani,Italian Institute of Technology; Center for Nano Science and Technology; Politecnico di Milano,middle,False
W3202305916,A5027372746,Yun‐Hi Kim,Gyeongsang National University,middle,False
W3202305916,A5082186093,Virgilio Mattoli,Piaggio (Italy); Italian Institute of Technology; Piaggio Aerospace (Italy),middle,True
W3202305916,A5002619683,Mario Caironi,Italian Institute of Technology; Center for Nano Science and Technology,last,False
W4390831690,A5100582731,Marília C. R. Silva,Universidade Federal do Piauí,first,False
W4390831690,A5041676823,S. Castro-Lopes,Universidade Federal Rural de Pernambuco,middle,False
W4390831690,,Aimée G. Jerônimo,Universidade Federal Rural de Pernambuco,middle,False
W4390831690,A5018100173,Ricardo Luís Barbosa,Universidade Federal Rural de Pernambuco,middle,False
W4390831690,A5067600503,Alexsandro Lins,Universidade Federal Rural de Pernambuco,middle,False
W4390831690,A5025566603,Pollyana Trigueiro,Universidade Federal Rural de Pernambuco,middle,False
W4390831690,A5009144262,Bartolomeu C. Viana,Universidade Federal do Piauí,middle,False
W4390831690,A5019194370,Francisca P. Araújo,Universidade Federal do Piauí; Universidade Federal Rural de Pernambuco,middle,False
W4390831690,A5020554846,Josy Anteveli Osajima,Universidade Federal do Piauí,middle,False
