work_id,keyword,score,source
W3005122425,Neuroscience and Neural Engineering,0.9986000061035156,topic
W3005122425,Photoreceptor and optogenetics research,0.9965999722480774,topic
W3041522446,Materials science,0.8796812295913696,keyword
W3041522446,Nanowire,0.7661725282669067,keyword
W3041522446,Nanotechnology,0.5282192230224609,keyword
W3041522446,Synapse,0.48896801471710205,keyword
W3041522446,Transistor,0.47962650656700134,keyword
W3041522446,Bending,0.4261947274208069,keyword
W3041522446,Optoelectronics,0.4025604724884033,keyword
W3041522446,Composite material,0.34000372886657715,keyword
W3041522446,Electrical engineering,0.10854583978652954,keyword
W3041522446,Advanced Memory and Neural Computing,1.0,topic
W3041522446,Perovskite Materials and Applications,0.9991999864578247,topic
W3041522446,Advanced Sensor and Energy Harvesting Materials,0.9988999962806702,topic
W4307640647,Materials science,0.7875094413757324,keyword
W4307640647,Optoelectronics,0.6589479446411133,keyword
W4307640647,Neuromorphic engineering,0.5675675272941589,keyword
W4307640647,Long-term potentiation,0.5284188985824585,keyword
W4307640647,Nanowire,0.5072116851806641,keyword
W4307640647,Transistor,0.5070745944976807,keyword
W4307640647,Synaptic plasticity,0.47259125113487244,keyword
W4307640647,Synaptic weight,0.44302380084991455,keyword
W4307640647,Postsynaptic Current,0.4236640930175781,keyword
W4307640647,Voltage,0.4092194437980652,keyword
W4307640647,Nanotechnology,0.3718821406364441,keyword
W4307640647,Electrical engineering,0.28748762607574463,keyword
W4307640647,Neuroscience,0.23650243878364563,keyword
W4307640647,Computer science,0.1535862386226654,keyword
W4307640647,Patch clamp,0.13030216097831726,keyword
W4307640647,Electrophysiology,0.12722957134246826,keyword
W4307640647,Chemistry,0.08955222368240356,keyword
W4307640647,Artificial neural network,0.0887121856212616,keyword
W4307640647,Advanced Memory and Neural Computing,1.0,topic
W4307640647,Neuroscience and Neural Engineering,0.9991000294685364,topic
W4307640647,Photoreceptor and optogenetics research,0.9966999888420105,topic
W3210211693,Materials science,0.7413263320922852,keyword
W3210211693,Term (time),0.6866067051887512,keyword
W3210211693,Nanowire,0.6256998777389526,keyword
W3210211693,Computation,0.6019784212112427,keyword
W3210211693,Transistor,0.5423984527587891,keyword
W3210211693,Synaptic plasticity,0.5303260684013367,keyword
W3210211693,Nanotechnology,0.5268204212188721,keyword
W3210211693,Optoelectronics,0.4542657732963562,keyword
W3210211693,Computer science,0.4132012724876404,keyword
W3210211693,Electrical engineering,0.17623600363731384,keyword
W3210211693,Engineering,0.11308881640434265,keyword
W3210211693,Physics,0.1053415834903717,keyword
W3210211693,Chemistry,0.09551328420639038,keyword
W3210211693,Algorithm,0.06401056051254272,keyword
W3210211693,Voltage,0.05990111827850342,keyword
W3210211693,Advanced Memory and Neural Computing,1.0,topic
W3210211693,Transition Metal Oxide Nanomaterials,0.9986000061035156,topic
W3210211693,Neuroscience and Neural Engineering,0.9975000023841858,topic
W4386830977,Materials science,0.7630451917648315,keyword
W4386830977,Transistor,0.6742917895317078,keyword
W4386830977,Optoelectronics,0.5911062955856323,keyword
W4386830977,Nanowire,0.5026745796203613,keyword
W4386830977,Synaptic plasticity,0.48616740107536316,keyword
W4386830977,Excitatory postsynaptic potential,0.47944679856300354,keyword
W4386830977,Neural facilitation,0.42976754903793335,keyword
W4386830977,Nanotechnology,0.3572777509689331,keyword
W4386830977,Voltage,0.327501505613327,keyword
W4386830977,Electrical engineering,0.22385439276695251,keyword
W4386830977,Neuroscience,0.22123846411705017,keyword
